player,team,conference,season,category,playerId,position_stat,CAR,LONG,TD,YDS,YPC,name_clean,position_clean,id,athleteId,recruitType,year,ranking,name,school,committedTo,position_recruit,height,weight,stars,rating,city,stateProvince,country,hometownInfo,recruit_year,eligibility_year,team_clean,committed_clean,school_match,Usage Overall,rushing_score,usage_pct,production_pct,impact_score,impact_percentile,outcome
Sedrick Alexander,Vanderbilt,SEC,2024,rushing,5030333,RB,164,31,6,586,3.6,sedrick alexander,RB,111981,5030333,HighSchool,2023.0,734.0,Sedrick Alexander,Austin LBJ,Vanderbilt,RB,68.0,190.0,3.0,0.8744,Austin,TX,USA,"{'latitude': 30.2711286, 'longitude': -97.7436995, 'fipsCode': '48453'}",2023.0,2.0,vanderbilt,vanderbilt,1,0,1034,0.5006544502617801,0.875,0.7252617801047121,0.875,Impact Player
Sedrick Alexander,Vanderbilt,SEC,2025,rushing,5030333,RB,106,65,11,570,5.4,sedrick alexander,RB,111981,5030333,HighSchool,2023.0,734.0,Sedrick Alexander,Austin LBJ,Vanderbilt,RB,68.0,190.0,3.0,0.8744,Austin,TX,USA,"{'latitude': 30.2711286, 'longitude': -97.7436995, 'fipsCode': '48453'}",2023.0,3.0,vanderbilt,vanderbilt,1,0,1002,0.5007739938080495,0.7770897832817337,0.66656346749226,0.7770897832817337,Starter
Sesi Vailahi,Oklahoma State,Big 12,2023,rushing,5125366,RB,6,8,0,27,4.5,sesi vailahi,RB,113274,5125366,HighSchool,2023.0,2145.0,Sesi Vailahi,West,Oklahoma State,RB,71.0,190.0,3.0,0.8211,Salt Lake City,UT,USA,"{'latitude': 40.7596198, 'longitude': -111.8867975, 'fipsCode': '49035'}",2023.0,1.0,oklahoma state,oklahoma state,1,0,39,0.5007849293563579,0.24489795918367346,0.34725274725274724,0.24489795918367346,Bust
Sesi Vailahi,Oklahoma State,Big 12,2024,rushing,5125366,RB,42,11,2,99,2.4,sesi vailahi,RB,113274,5125366,HighSchool,2023.0,2145.0,Sesi Vailahi,West,Oklahoma State,RB,71.0,190.0,3.0,0.8211,Salt Lake City,UT,USA,"{'latitude': 40.7596198, 'longitude': -111.8867975, 'fipsCode': '49035'}",2023.0,2.0,oklahoma state,oklahoma state,1,0,223,0.5006544502617801,0.44960732984293195,0.47002617801047125,0.44960732984293195,Depth / Rotation
Sesi Vailahi,Oklahoma State,Big 12,2025,rushing,5125366,RB,42,14,2,152,3.6,sesi vailahi,RB,113274,5125366,HighSchool,2023.0,2145.0,Sesi Vailahi,West,Oklahoma State,RB,71.0,190.0,3.0,0.8211,Salt Lake City,UT,USA,"{'latitude': 40.7596198, 'longitude': -111.8867975, 'fipsCode': '49035'}",2023.0,3.0,oklahoma state,oklahoma state,1,0,276,0.5007739938080495,0.43962848297213625,0.4640866873065016,0.43962848297213625,Depth / Rotation
Seth Davis,Mississippi State,SEC,2023,rushing,4920162,RB,59,46,1,356,6.0,seth davis,RB,111879,4920162,HighSchool,2023.0,634.0,Seth Davis,Katy,Mississippi State,RB,67.0,170.0,3.0,0.8786,Katy,TX,USA,"{'latitude': 29.7857853, 'longitude': -95.8243956, 'fipsCode': '48157'}",2023.0,1.0,mississippi state,mississippi state,1,0,494,0.5007849293563579,0.8076923076923077,0.6849293563579277,0.8076923076923077,Starter
Seth Davis,Mississippi State,SEC,2025,rushing,4920162,RB,5,23,1,47,9.4,seth davis,RB,111879,4920162,HighSchool,2023.0,634.0,Seth Davis,Katy,Mississippi State,RB,67.0,170.0,3.0,0.8786,Katy,TX,USA,"{'latitude': 29.7857853, 'longitude': -95.8243956, 'fipsCode': '48157'}",2023.0,3.0,mississippi state,mississippi state,1,0,77,0.5007739938080495,0.2306501547987616,0.3386996904024768,0.2306501547987616,Bust
Seth McGowan,Oklahoma,Big 12,2020,rushing,4686468,RB,58,73,3,370,6.4,seth mcgowan,RB,118541,4686468,HighSchool,2020.0,134.0,Seth McGowan,Mesquite Poteet,Oklahoma,RB,71.5,215.0,4.0,0.9378,Mesquite,TX,USA,"{'latitude': 32.7666103, 'longitude': -96.599472, 'fipsCode': '48113'}",2020.0,1.0,oklahoma,oklahoma,1,0,546,0.5007849293563579,0.8398744113029827,0.7042386185243328,0.8398744113029827,Starter
Seth McGowan,New Mexico State,Conference USA,2024,rushing,4686468,RB,153,38,3,813,5.3,seth mcgowan,RB,118541,4686468,HighSchool,2020.0,134.0,Seth McGowan,Mesquite Poteet,Oklahoma,RB,71.5,215.0,4.0,0.9378,Mesquite,TX,USA,"{'latitude': 32.7666103, 'longitude': -96.599472, 'fipsCode': '48113'}",2020.0,5.0,new mexico state,oklahoma,0,0,1179,0.5016233766233766,0.8733766233766234,0.7246753246753246,0.8733766233766234,Impact Player
Seth Paige,Georgia State,Sun Belt,2018,rushing,4361914,RB,62,82,4,340,5.5,seth paige,RB,128718,4361914,HighSchool,2018.0,2450.0,Seth Paige,Baker County,Georgia State,RB,70.0,176.0,2.0,0.7914,Glen St. Mary,FL,USA,"{'latitude': 30.2757913, 'longitude': -82.1606689, 'fipsCode': '12003'}",2018.0,1.0,georgia state,georgia state,1,0,544,0.5007849293563579,0.8375196232339089,0.7028257456828885,0.8375196232339089,Starter
